time,mass_imbalance,mass_abs_local,cumulative_mass_imbalance,energy_imbalance
0.0002,4.569080504e-22,1.695180114e-21,4.569080504e-22,0.0
0.0002,-5.251463262e-25,2.806735595e-21,4.56382904e-22,0.0
0.0002,-1.278941561e-22,9.611518133e-21,3.28488748e-22,0.0
0.0002,-1.278943394e-22,9.611499922e-21,2.005944085e-22,0.0
0.0004,3.792106416e-22,6.654464101e-21,5.798050501e-22,0.0
0.0004,3.222992684e-22,1.428823818e-20,9.021043185e-22,0.0
0.0004,-1.30810555e-21,1.066527374e-20,-4.060012311e-22,0.0
0.0004,-9.302313707e-22,1.155310485e-20,-1.336232602e-21,0.0
0.0006,2.066932842e-21,1.159031747e-20,7.307002403e-22,0.0
0.0006,1.376845619e-21,1.365932906e-20,2.10754586e-21,0.0
0.0006,-5.560042699e-21,3.101435536e-20,-3.452496839e-21,0.0
0.0006,-3.391282497e-21,2.334558842e-20,-6.843779337e-21,0.0
0.0008,5.294530529e-21,2.423546826e-20,-1.549248808e-21,0.0
0.0008,3.043767855e-21,1.762929363e-20,1.494519047e-21,0.0
0.0008,-5.714013648e-21,2.913746729e-20,-4.219494601e-21,0.0
0.0008,-3.550827846e-21,2.426278451e-20,-7.770322446e-21,0.0
0.001,4.742774638e-21,2.463439674e-20,-3.027547809e-21,0.0
0.001,2.6612278e-21,1.816348781e-20,-3.663200089e-22,0.0
0.001,-5.81897333e-21,2.962117055e-20,-6.185293339e-21,0.0
0.001,-3.607537243e-21,2.564254352e-20,-9.792830582e-21,0.0
0.0012,4.669251678e-21,2.274221198e-20,-5.123578904e-21,0.0
0.0012,2.655219718e-21,1.692700558e-20,-2.468359185e-21,0.0
0.0012,-5.631645812e-21,2.824195279e-20,-8.100004998e-21,0.0
0.0012,-3.509005034e-21,2.570428988e-20,-1.160901003e-20,0.0
0.0014,3.737079463e-21,1.847836969e-20,-7.871930569e-21,0.0
0.0014,2.179893201e-21,1.520537596e-20,-5.692037367e-21,0.0
0.0014,-5.195181373e-21,2.550464334e-20,-1.088721874e-20,0.0
0.0014,-3.278479616e-21,2.498655857e-20,-1.416569836e-20,0.0
0.0016,8.893417148e-21,4.184863226e-20,-5.272281209e-21,0.0
0.0016,4.372394555e-21,2.356912597e-20,-8.998866541e-22,0.0
0.0016,-1.370634724e-20,6.447526613e-20,-1.460623389e-20,0.0
0.0016,-7.24180406e-21,4.008442909e-20,-2.184803795e-20,0.0
0.0018,8.157463109e-21,3.801220978e-20,-1.369057484e-20,0.0
0.0018,4.066634735e-21,2.237622711e-20,-9.62394011e-21,0.0
0.0018,-1.257587402e-20,5.845803568e-20,-2.219981413e-20,0.0
0.0018,-6.78525629e-21,3.828300352e-20,-2.898507042e-20,0.0
0.002,8.144447821e-21,3.77137112e-20,-2.08406226e-20,0.0
0.002,4.089233294e-21,2.250699e-20,-1.675138931e-20,0.0
0.002,-1.210042163e-20,5.60759491e-20,-2.885181094e-20,0.0
0.002,-6.598475136e-21,3.780434382e-20,-3.545028607e-20,0.0
0.0022,8.625361286e-21,3.996880555e-20,-2.682492479e-20,0.0
0.0022,4.258265418e-21,2.320570387e-20,-2.256665937e-20,0.0
0.0022,-1.208035923e-20,5.605962093e-20,-3.46470186e-20,0.0
0.0022,-6.582250579e-21,3.806936072e-20,-4.122926918e-20,0.0
0.0024,8.594919045e-21,3.987788035e-20,-3.263435014e-20,0.0
0.0024,4.2577806e-21,2.32435502e-20,-2.837656954e-20,0.0
0.0024,-1.207050195e-20,5.607082052e-20,-4.044707149e-20,0.0
0.0024,-6.573625096e-21,3.827314448e-20,-4.702069658e-20,0.0
0.0026,8.60302134e-21,4.000154621e-20,-3.841767524e-20,0.0
0.0026,4.264564388e-21,2.336753938e-20,-3.415311086e-20,0.0
0.0026,-1.203932881e-20,5.596445794e-20,-4.619243966e-20,0.0
0.0026,-6.553305318e-21,3.840043778e-20,-5.274574498e-20,0.0
0.0028,8.594678718e-21,3.981000427e-20,-4.415106627e-20,0.0
0.0028,4.284134247e-21,2.334487991e-20,-3.986693202e-20,0.0
0.0028,-1.195535979e-20,5.558779202e-20,-5.182229181e-20,0.0
0.0028,-6.509930525e-21,3.842073192e-20,-5.833222234e-20,0.0
0.003,8.385838906e-21,3.913504022e-20,-4.994638343e-20,0.0
0.003,4.149910035e-21,2.316116807e-20,-4.57964734e-20,0.0
0.003,-1.188801117e-20,5.529283578e-20,-5.768448456e-20,0.0
0.003,-6.467143365e-21,3.846070215e-20,-6.415162793e-20,0.0
0.0032,8.26646721e-21,3.856167377e-20,-5.588516072e-20,0.0
0.0032,4.106136807e-21,2.31780677e-20,-5.177902391e-20,0.0
0.0032,-1.179087234e-20,5.484323526e-20,-6.356989625e-20,0.0
0.0032,-6.416930841e-21,3.850303574e-20,-6.998682709e-20,0.0
0.0034,8.46050518e-21,3.948840452e-20,-6.152632191e-20,0.0
0.0034,4.154357132e-21,2.349809979e-20,-5.737196478e-20,0.0
0.0034,-1.182125602e-20,5.500328606e-20,-6.91932208e-20,0.0
