time,field,initial_residual,final_residual
0.0002,Ux,1.0,2.44579639e-13
0.0002,Uy,0.0,0.0
0.0002,p,1.0,4.540665775e-09
0.0002,p,2.179519537e-09,2.179519537e-09
0.0002,p,2.564038841e-07,3.608664114e-09
0.0002,p,3.608664445e-09,3.608664445e-09
0.0002,Ux,0.1389782016,5.268068237e-14
0.0002,Uy,0.1714549069,9.327868428e-14
0.0002,p,7.800646401e-08,8.650375787e-09
0.0002,p,8.650375237e-09,8.650375237e-09
0.0002,p,8.650358863e-09,8.650358863e-09
0.0002,p,8.650358863e-09,8.650358863e-09
0.0004,Ux,0.2089450202,3.881291058e-14
0.0004,Uy,0.2542721815,5.809769062e-14
0.0004,p,0.423916085,4.928871837e-09
0.0004,p,3.466784676e-09,3.466784676e-09
0.0004,p,7.211587984e-08,7.443761916e-09
0.0004,p,7.443762005e-09,7.443762005e-09
0.0004,Ux,0.064163876,1.799832954e-14
0.0004,Uy,0.20633048,1.043399291e-13
0.0004,p,0.0946387111,4.256891827e-09
0.0004,p,4.701059102e-09,4.701059102e-09
0.0004,p,3.918617372e-08,5.092398897e-09
0.0004,p,5.092398913e-09,5.092398913e-09
0.0006,Ux,0.1169243712,1.692895056e-14
0.0006,Uy,0.2078344084,6.315585422e-14
0.0006,p,0.2957913153,5.159925318e-09
0.0006,p,3.987686074e-09,3.987686074e-09
0.0006,p,4.161455362e-08,4.699536228e-09
0.0006,p,4.699536228e-09,4.699536228e-09
0.0006,Ux,0.04218348961,1.103858647e-14
0.0006,Uy,0.2413639634,1.240582929e-13
0.0006,p,0.1187254552,8.355980671e-09
0.0006,p,9.486553085e-09,9.486553085e-09
0.0006,p,4.594065597e-08,7.140859762e-09
0.0006,p,7.140859922e-09,7.140859922e-09
0.0008,Ux,0.08118186589,1.058069031e-14
0.0008,Uy,0.1571130863,5.136023135e-14
0.0008,p,0.2464171584,7.999576663e-09
0.0008,p,6.419434205e-09,6.419434205e-09
0.0008,p,3.231159129e-08,4.669606143e-09
0.0008,p,4.669606066e-09,4.669606066e-09
0.0008,Ux,0.03187838904,8.091157862e-15
0.0008,Uy,0.2776850832,1.517771093e-13
0.0008,p,0.1293993442,6.101573246e-09
0.0008,p,7.013542606e-09,7.013542606e-09
0.0008,p,4.244026829e-08,5.840180623e-09
0.0008,p,5.84018071e-09,5.84018071e-09
0.001,Ux,0.06285660277,7.897161478e-15
0.001,Uy,0.0718787564,1.515527716e-14
0.001,p,0.2170358947,6.637384096e-09
0.001,p,5.454120289e-09,5.454120289e-09
0.001,p,2.828222209e-08,4.021444053e-09
0.001,p,4.021444002e-09,4.021444002e-09
0.001,Ux,0.02613803753,6.608599526e-15
0.001,Uy,0.2830229955,1.485145215e-13
0.001,p,0.1360779278,5.21526443e-09
0.001,p,6.039781282e-09,6.039781282e-09
0.001,p,4.003605678e-08,5.228535906e-09
0.001,p,5.228535967e-09,5.228535967e-09
0.0012,Ux,0.05197955653,6.259615136e-15
0.0012,Uy,0.06052232652,1.137736302e-14
0.0012,p,0.2053866004,5.282568797e-09
0.0012,p,4.392619979e-09,4.392619979e-09
0.0012,p,2.430755814e-08,3.269422658e-09
0.0012,p,3.269422624e-09,3.269422624e-09
0.0012,Ux,0.02196068978,5.392094638e-15
0.0012,Uy,0.2918355868,1.453608458e-13
0.0012,p,0.1416280298,4.358647485e-09
0.0012,p,5.079116918e-09,5.079116918e-09
0.0012,p,3.728847853e-08,4.622736036e-09
0.0012,p,4.622736076e-09,4.622736076e-09
0.0014,Ux,0.04386033453,5.110233065e-15
0.0014,Uy,0.0537043615,9.301639463e-15
0.0014,p,0.1971727204,3.813435561e-09
0.0014,p,3.186736015e-09,3.186736015e-09
0.0014,p,2.108547563e-08,2.622283266e-09
0.0014,p,2.62228325e-09,2.62228325e-09
0.0014,Ux,0.01889989946,4.586875955e-15
0.0014,Uy,0.2954654397,1.398743927e-13
0.0014,p,0.1449736706,3.525260041e-09
0.0014,p,4.124964217e-09,4.124964217e-09
0.0014,p,3.451757853e-08,4.041172342e-09
0.0014,p,4.041172363e-09,4.041172363e-09
0.0016,Ux,0.03801279116,4.286993673e-15
0.0016,Uy,0.05290018936,9.753981596e-15
0.0016,p,0.1916167059,7.819325575e-09
0.0016,p,6.560871064e-09,6.560871064e-09
0.0016,p,2.229458386e-08,3.69507888e-09
0.0016,p,3.695078792e-09,3.695078792e-09
0.0016,Ux,0.01640956964,3.899765269e-15
0.0016,Uy,0.2827664829,1.368882758e-13
0.0016,p,0.147235092,8.114175541e-09
0.0016,p,9.517203761e-09,9.517203761e-09
0.0016,p,3.744178042e-08,5.916868597e-09
0.0016,p,5.916868781e-09,5.916868781e-09
0.0018,Ux,0.0333538193,3.658169783e-15
0.0018,Uy,0.08504826684,2.738100099e-14
0.0018,p,0.1865746537,6.521724945e-09
0.0018,p,5.491490991e-09,5.491490991e-09
0.0018,p,2.032718752e-08,3.232615279e-09
0.0018,p,3.232615218e-09,3.232615218e-09
0.0018,Ux,0.01455660166,3.328417283e-15
0.0018,Uy,0.3151663571,1.58271102e-13
0.0018,p,0.1488133229,6.789804736e-09
0.0018,p,7.983071092e-09,7.983071092e-09
0.0018,p,3.474307765e-08,5.227954263e-09
0.0018,p,5.227954388e-09,5.227954388e-09
0.002,Ux,0.02978664941,3.140126376e-15
0.002,Uy,0.03927408787,7.70109457e-15
0.002,p,0.182566579,6.014880861e-09
0.002,p,5.080160034e-09,5.080160034e-09
0.002,p,1.905666601e-08,3.031765065e-09
0.002,p,3.031765014e-09,3.031765014e-09
0.002,Ux,0.0131876411,2.919632927e-15
