time,mass_imbalance,mass_abs_local,cumulative_mass_imbalance,energy_imbalance
0.01,4.92865928012e-23,4.36010518189e-12,4.92865928012e-23,0.0
0.01,1.88226978294e-23,5.33457553488e-12,6.81092906306e-23,0.0
0.01,-6.32065181709e-23,4.98690246271e-12,4.9027724597e-24,0.0
0.01,1.66362997274e-23,3.31521393036e-12,2.1539072187e-23,0.0
0.02,8.72935714017e-23,3.79363635877e-12,1.08832643589e-22,0.0
0.02,-1.50740326621e-22,2.08885441042e-12,-4.1907683032e-23,0.0
0.02,3.36561031687e-22,1.52869207101e-12,2.94653348655e-22,0.0
0.02,-3.13380379258e-22,1.28277279555e-12,-1.8727030603e-23,0.0
0.03,-5.27223943726e-22,1.37489258659e-12,-5.45950974329e-22,0.0
0.03,1.21561598618e-22,1.02369160139e-12,-4.24389375711e-22,0.0
0.03,-5.65286759313e-23,7.94857399034e-13,-4.80918051642e-22,0.0
0.03,1.43508789284e-22,1.40244804639e-12,-3.37409262358e-22,0.0
0.04,-2.50479932274e-22,1.07168116393e-12,-5.87889194632e-22,0.0
0.04,-2.12060351321e-22,7.49187000667e-13,-7.99949545953e-22,0.0
0.04,-1.5473604217e-22,6.89460749777e-13,-9.54685588123e-22,0.0
0.04,-4.17200062554e-22,7.51238441084e-13,-1.37188565068e-21,0.0
0.05,3.97422574604e-22,8.38577702999e-13,-9.74463076073e-22,0.0
0.05,7.68581720481e-23,5.36012565951e-13,-8.97604904024e-22,0.0
0.05,-7.86674562665e-23,6.10123925127e-13,-9.76272360291e-22,0.0
0.05,4.21892379431e-22,4.31244914586e-13,-5.5437998086e-22,0.0
0.06,-3.23360557571e-22,6.27767491317e-13,-8.7774053843e-22,0.0
0.06,2.68448696665e-22,5.4779607682e-13,-6.09291841765e-22,0.0
0.06,2.8523001164e-23,3.96867511449e-13,-5.80768840601e-22,0.0
0.06,-1.84274199562e-22,4.3210901281e-13,-7.65043040163e-22,0.0
0.07,3.53896085595e-22,5.26038838864e-13,-4.11146954568e-22,0.0
0.07,8.13335161086e-23,4.74474431533e-13,-3.2981343846e-22,0.0
0.07,-2.66940829374e-22,5.52071695535e-13,-5.96754267833e-22,0.0
0.07,-3.54397668247e-23,5.44950788009e-13,-6.32194034658e-22,0.0
0.08,-4.45527799706e-22,4.19221797427e-13,-1.07772183436e-21,0.0
0.08,-3.18041230563e-22,2.91636408125e-13,-1.39576306493e-21,0.0
0.08,-7.13625770309e-23,4.55298018663e-13,-1.46712564196e-21,0.0
0.08,-1.48609536436e-22,3.85545755319e-13,-1.61573517839e-21,0.0
