time,field,initial_residual,final_residual
0.01,Ux,0.999999999201,5.01809187826e-11
0.01,Uy,1.0,3.6102143201e-11
0.01,Uz,1.0,5.0753888574e-11
0.01,p,1.0,9.29784089018e-10
0.01,p,0.467444416504,9.35358133942e-10
0.01,p,0.035009143028,8.60404605993e-10
0.01,p,0.00647610960997,8.42113795492e-10
0.01,Ux,0.00888843149512,1.01632531815e-12
0.01,Uy,0.0254566190772,1.02379152157e-12
0.01,Uz,0.0262160994499,2.3510503143e-12
0.01,p,0.00954090005182,8.38585817291e-10
0.01,p,0.000878118157425,7.66517552067e-10
0.01,p,0.000135311056324,6.18317015377e-10
0.01,p,2.65541062561e-05,5.13979943803e-10
0.02,Ux,0.885816865452,2.21196310925e-11
0.02,Uy,0.332716313174,1.92371923479e-11
0.02,Uz,0.332323266627,3.72155532823e-11
0.02,p,0.329078739335,8.56565515097e-10
0.02,p,0.540939970572,9.56821987397e-10
0.02,p,0.0638472069203,7.93255476864e-10
0.02,p,0.0079538566744,7.898892376e-10
0.02,Ux,0.000578867985875,2.40789521331e-13
0.02,Uy,0.00225257959109,4.824276116e-13
0.02,Uz,0.00414995075795,1.75374754209e-12
0.02,p,0.00282628700806,7.67162010312e-10
0.02,p,0.000465602096287,5.85194242507e-10
0.02,p,0.000121403759189,5.43281123976e-10
0.02,p,3.51739166763e-05,4.91000098011e-10
0.03,Ux,0.193777586728,5.16670815022e-11
0.03,Uy,0.149066151059,5.51258901131e-11
0.03,Uz,0.179109783005,8.7637305643e-11
0.03,p,0.329280339024,8.29698749977e-10
0.03,p,0.0601182143446,8.67107881801e-10
0.03,p,0.00761561395338,7.62826254964e-10
0.03,p,0.00148752046041,6.54808488562e-10
0.03,Ux,0.000194982484706,7.30877156812e-14
0.03,Uy,0.00027381743859,8.19230515417e-14
0.03,Uz,0.000516388398653,2.06898853652e-13
0.03,p,0.000838301452909,7.28080113546e-10
0.03,p,0.000135758637377,5.08774702931e-10
0.03,p,3.54971322845e-05,5.74129635773e-10
0.03,p,1.05668669511e-05,8.97570479886e-10
0.04,Ux,0.0746625913625,1.79044650396e-11
0.04,Uy,0.0740026342078,1.73294148668e-11
0.04,Uz,0.078563891708,2.88297873984e-11
0.04,p,0.213814121522,8.10411804517e-10
0.04,p,0.0234844060859,9.51438567864e-10
0.04,p,0.00278634024562,8.63002020839e-10
0.04,p,0.000548119638345,6.68997319744e-10
0.04,Ux,0.000123598800483,4.47792173756e-14
0.04,Uy,0.000181528628823,4.61857330022e-14
0.04,Uz,0.000319371064625,1.10935869477e-13
0.04,p,0.000557780973102,8.03188776212e-10
