phase,T_K,p_MPa,rho_kg_m3,u_kJ_kg,h_kJ_kg,Cv_J_kgK,Cp_J_kgK,mu_uPa_s,k_W_mK,sigma_N_m
liquid,21.010,0.12531,69.965,5.7829,7.5739,5725.7,10188.0,12.707,0.10110,0.0018106
liquid,21.510,0.14369,69.357,10.840,12.912,5769.3,10521.0,12.210,0.10124,0.0017303
liquid,22.010,0.16392,68.730,16.045,18.430,5812.299999999999,10872.0,11.740,0.10128,0.0016501
liquid,22.510,0.18610,68.082,21.404,24.138,5854.5,11245.0,11.294,0.10122,0.0015702
liquid,23.010,0.21034,67.411,26.924,30.045,5895.7,11643.0,10.871,0.10106,0.0014905
liquid,23.510,0.23673,66.716,32.613,36.161,5935.8,12070.0,10.467,0.10081,0.0014111
liquid,24.010,0.26538,65.996,38.479,42.500,5974.700000000001,12529.0,10.082,0.10046,0.0013319
liquid,24.510,0.29639,65.247,44.532,49.075,6012.5,13028.0,9.7122,0.10005,0.0012529
liquid,25.010,0.32986,64.469,50.784,55.900,6049.299999999999,13573.0,9.3572,0.099556,0.0011743
liquid,25.510,0.36591,63.657,57.247,62.995,6085.200000000001,14173.0,9.0150,0.098966,0.0010959
liquid,26.010,0.40464,62.809,63.938,70.380,6120.599999999999,14841.0,8.6841,0.098284,0.0010179
liquid,26.510,0.44615,61.921,70.875,78.080,6155.9,15592.0,8.3628,0.097514,0.00094021
liquid,27.010,0.49056,60.987,78.081,86.125,6191.5,16447.0,8.0497,0.096653,0.00086287
liquid,27.510,0.53799,60.002,85.584,94.550,6228.2,17434.0,7.7431,0.095703,0.00078592
liquid,28.010,0.58854,58.958,93.418,103.40,6266.8,18594.0,7.4414,0.094662,0.00070940
liquid,28.510,0.64233,57.846,101.63,112.73,6308.6,19984.0,7.1428,0.093527,0.00063335
liquid,29.010,0.69951,56.652,110.27,122.62,6355.1,21691.0,6.8451,0.092296,0.00055781
liquid,29.510,0.76018,55.361,119.42,133.15,6408.8,23856.0,6.5459,0.090965,0.00048284
liquid,30.010,0.82451,53.947,129.19,144.48,6472.900000000001,26715.0,6.2420,0.089530,0.00040853
liquid,30.510,0.89264,52.375,139.75,156.79,6552.7,30703.0,5.9288,0.087996,0.00033499
liquid,31.010,0.96477,50.587,151.34,170.41,6656.7,36724.0,5.5997,0.086389,0.00026235
liquid,31.510,1.0411,48.482,164.44,185.91,6800.0,47004.0,5.2430,0.084830,0.00019084
liquid,32.010,1.1219,45.840,180.02,204.50,7015.1,68866.0,4.8352,0.083879,0.00012085
liquid,32.510,1.2077,42.009,201.07,229.81,7396.6,147280.0,4.3075,0.087057,5.3210e-05
vapor,21.010,0.12531,1.6229,372.67,449.88,6490.599999999999,12354.0,1.0317,0.017573,
vapor,21.510,0.14369,1.8390,374.05,452.18,6514.400000000001,12607.0,1.0602,0.018185,
vapor,22.010,0.16392,2.0757,375.27,454.24,6541.2,12890.0,1.0892,0.018816,
vapor,22.510,0.18610,2.3346,376.32,456.03,6571.0,13206.0,1.1186,0.019468,
vapor,23.010,0.21034,2.6173,377.19,457.56,6604.3,13560.0,1.1485,0.020144,
vapor,23.510,0.23673,2.9256,377.88,458.80,6641.3,13958.0,1.1792,0.020845,
vapor,24.010,0.26538,3.2616,378.37,459.73,6682.2,14407.0,1.2105,0.021575,
vapor,24.510,0.29639,3.6275,378.64,460.34,6727.299999999999,14915.0,1.2428,0.022338,
vapor,25.010,0.32986,4.0261,378.68,460.61,6776.900000000001,15493.0,1.2761,0.023137,
vapor,25.510,0.36591,4.4602,378.47,460.51,6831.299999999999,16152.999999999998,1.3106,0.023979,
vapor,26.010,0.40464,4.9335,378.00,460.02,6890.7,16914.0,1.3465,0.024870,
vapor,26.510,0.44615,5.4500,377.23,459.09,6955.8,17798.0,1.3840,0.025820,
vapor,27.010,0.49056,6.0147,376.14,457.70,7026.799999999999,18836.0,1.4234,0.026839,
vapor,27.510,0.53799,6.6335,374.69,455.79,7104.599999999999,20070.0,1.4651,0.027943,
vapor,28.010,0.58854,7.3141,372.83,453.30,7189.7,21558.0,1.5095,0.029152,
vapor,28.510,0.64233,8.0656,370.51,450.15,7283.1,23387.0,1.5572,0.030494,
vapor,29.010,0.69951,8.9006,367.66,446.25,7386.099999999999,25688.0,1.6091,0.032009,
vapor,29.510,0.76018,9.8355,364.16,441.45,7500.099999999999,28668.0,1.6660,0.033756,
vapor,30.010,0.82451,10.894,359.89,435.58,7627.2,32677.0,1.7295,0.035826,
vapor,30.510,0.89264,12.110,354.63,428.34,7770.1,38359.0,1.8019,0.038368,
vapor,31.010,0.96477,13.539,348.05,419.31,7932.5,47036.0,1.8868,0.041651,
vapor,31.510,1.0411,15.280,339.56,407.69,8120.1,61924.0,1.9910,0.046215,
vapor,32.010,1.1219,17.546,327.94,391.89,8341.2,93358.0,2.1292,0.053406,
vapor,32.510,1.2077,20.975,309.57,367.15,8605.7,202070.0,2.3483,0.068487,
