time,continuity_sum_local,continuity_global,continuity_cumulative
0.001,2.82862501584e-12,-4.29265972769e-13,-2.20188689775e-07
0.002,3.73557229536e-13,6.01082676965e-14,-3.2832650111e-08
0.003,3.49848272403e-13,-9.09119562019e-14,-4.16875964582e-08
0.004,5.1407780295e-13,-1.11371368443e-13,-4.18518954578e-08
0.005,3.75701389042e-13,-5.12628167115e-14,-4.23444058983e-08
0.006,4.07386217873e-13,3.59439532421e-14,-4.28979806849e-08
0.007,4.19010239393e-13,5.06303478241e-14,-4.34475198118e-08
0.008,3.77336359788e-13,9.56161581975e-14,-4.40301870443e-08
0.009,3.48526267908e-13,-5.67957025104e-14,-4.45512786394e-08
0.01,3.9663769093e-13,-6.498959182e-14,-4.50826081955e-08
0.011,4.07051395061e-13,-6.63554044591e-14,-4.56028760414e-08
0.012,4.084418597e-13,-6.52494769573e-14,-4.61328127496e-08
0.013,4.02804166272e-13,-6.25777288716e-14,-4.66734317549e-08
0.014,3.89731022205e-13,-5.62616745852e-14,-4.72248143169e-08
0.015,3.81432669403e-13,-5.13879800892e-14,-4.78042757779e-08
0.016,3.56702097519e-13,-3.57797006967e-14,-4.83832377139e-08
0.017,3.54526466185e-13,-3.35319610688e-14,-4.90062967053e-08
0.018,3.40745076507e-13,-2.1092147763e-14,-4.96500629352e-08
0.019,3.26637961074e-13,-9.94741073979e-15,-5.03264603412e-08
0.02,3.05165032442e-13,1.35165666489e-14,-5.09979864561e-08
0.021,2.99310692924e-13,3.9545582498e-14,-5.16344562102e-08
0.022,2.99058641677e-13,4.20296320625e-14,-5.22735662682e-08
0.023,3.01764734821e-13,4.773995158e-14,-5.29071258033e-08
0.024,2.99354150607e-13,4.85249739481e-14,-5.35338960475e-08
0.025,2.80153940656e-13,2.54199708404e-14,-5.41624257001e-08
0.026,2.8214750617e-13,1.71200973827e-14,-5.47794703056e-08
0.027,2.86658548976e-13,5.89482494822e-15,-5.53770137291e-08
0.028,2.81987223716e-13,6.31432078435e-15,-5.59531128434e-08
0.029,2.94379715592e-13,-1.11802143776e-14,-5.65401350153e-08
0.03,2.96076961274e-13,-1.6705102929e-14,-5.71098021353e-08
0.031,2.96284370916e-13,-2.0777391004e-14,-5.76592367237e-08
0.032,2.97263449195e-13,-2.49006934695e-14,-5.82106943991e-08
0.033,2.96355903108e-13,-2.69140285255e-14,-5.87536458252e-08
0.034,3.03813089898e-13,-3.36057958695e-14,-5.93280404994e-08
0.035,3.07477952785e-13,-3.78876509436e-14,-5.99110282284e-08
0.036,3.09727177595e-13,-4.0606224128e-14,-6.04743543032e-08
0.037,3.01935438605e-13,-3.7597930282e-14,-6.09766629572e-08
0.038,2.99924396051e-13,-3.84083261525e-14,-6.1459129492e-08
0.039,2.95950146822e-13,-3.77308442748e-14,-6.19144214045e-08
0.04,3.02992922622e-13,-4.18246495335e-14,-6.23910823221e-08
0.041,3.02952783899e-13,-4.31490774802e-14,-6.28864841921e-08
0.042,2.99014738658e-13,-4.22176031612e-14,-6.33778615967e-08
0.043,3.00426965747e-13,-4.32518922731e-14,-6.38890491508e-08
0.044,2.97812666442e-13,-4.25900081063e-14,-6.43815273552e-08
0.045,2.95278088403e-13,-4.20412659956e-14,-6.48652413732e-08
0.046,2.88649005857e-13,-3.96509333409e-14,-6.53275003022e-08
0.047,2.83866556801e-13,-3.74817069595e-14,-6.57767916792e-08
0.048,2.8209439036e-13,-3.72251634122e-14,-6.62524197689e-08
0.049,2.7591632776e-13,-3.44637701049e-14,-6.6746132371e-08
0.05,2.69721903544e-13,-3.11252491473e-14,-6.72539461191e-08
0.051,2.60120897849e-13,-2.50817816993e-14,-6.77783580631e-08
0.052,2.48790031471e-13,-1.62833446058e-14,-6.83266266591e-08
0.053,4.01762622458e-13,4.45919669797e-14,-6.88940166716e-08
0.054,2.54250766629e-13,5.42557193796e-14,-6.95020643063e-08
0.055,2.80318481917e-13,6.54826520306e-14,-7.01569385796e-08
0.056,3.05669273662e-13,7.46625663975e-14,-7.08455632926e-08
0.057,3.23902408902e-13,8.07691525697e-14,-7.16017881264e-08
0.058,3.44200411976e-13,8.71684534386e-14,-7.2423464505e-08
0.059,3.58829353379e-13,9.16283203062e-14,-7.33234199356e-08
0.06,3.73321634103e-13,9.59852660903e-14,-7.42866693472e-08
0.061,3.8714958129e-13,1.00109505872e-13,-7.52990658229e-08
0.062,3.98203399593e-13,1.0334113631e-13,-7.6361439313e-08
0.063,4.05157166319e-13,1.05375191797e-13,-7.74907070193e-08
0.064,2.30921072607e-13,-3.62678491607e-14,-7.8684235494e-08
0.065,2.3309694537e-13,-3.68229005888e-14,-7.99211196966e-08
0.066,2.34463023285e-13,-3.71794138049e-14,-8.12123980242e-08
0.067,2.34045144193e-13,-3.72236061114e-14,-8.25705129208e-08
0.068,2.33268085689e-13,-3.71946222269e-14,-8.39792323636e-08
0.069,2.31185997864e-13,-3.69612601902e-14,-8.54275213988e-08
0.07,2.29223821451e-13,-3.67146396684e-14,-8.69161411931e-08
