time,final_residual_max
0.001,8.08761107995e-09
0.002,5.69446579608e-09
0.003,6.4571797613e-09
0.004,9.63654066917e-09
0.005,7.04587444482e-09
0.006,7.62576851151e-09
0.007,7.84737478496e-09
0.008,7.08751568918e-09
0.009,6.57867302158e-09
0.01,7.54700620442e-09
0.011,7.82980765039e-09
0.012,7.95963839851e-09
0.013,7.95670516818e-09
0.014,7.80047777874e-09
0.015,7.73215349227e-09
0.016,7.31691809312e-09
0.017,7.35419817912e-09
0.018,7.1424386522e-09
0.019,6.9134897983e-09
0.02,6.51572104166e-09
0.021,6.44051288862e-09
0.022,6.47845167017e-09
0.023,6.57510882772e-09
0.024,6.55566815907e-09
0.025,6.16171361864e-09
0.026,6.22675213118e-09
0.027,6.34547409546e-09
0.028,6.2549366783e-09
0.029,6.53940988488e-09
0.03,6.58331647733e-09
0.031,6.5940402122e-09
0.032,6.62243214657e-09
0.033,6.60981749952e-09
0.034,6.78661058903e-09
0.035,6.88099770891e-09
0.036,6.94836124303e-09
0.037,6.79357465487e-09
0.038,6.7673550076e-09
0.039,6.69923529591e-09
0.04,6.88431951535e-09
0.041,6.9120121552e-09
0.042,6.85119009047e-09
0.043,6.91426857568e-09
0.044,6.88435954298e-09
0.045,6.85535674651e-09
0.046,6.72857857909e-09
0.047,6.6408151317e-09
0.048,6.62328489467e-09
0.049,6.50037914832e-09
0.05,6.37101281119e-09
0.051,6.15788953999e-09
0.052,5.90165001122e-09
0.053,9.54758318325e-09
0.054,6.05377054092e-09
0.055,6.68786812664e-09
0.056,7.30880351677e-09
0.057,7.76215158207e-09
0.058,8.26881980828e-09
0.059,8.6402638056e-09
0.06,9.00848560683e-09
0.061,9.36348909149e-09
0.062,9.65213277628e-09
0.063,9.84151127537e-09
0.064,5.62219611997e-09
0.065,5.68553094819e-09
0.066,5.72986516071e-09
0.067,5.73042250881e-09
0.068,5.72145459275e-09
0.069,5.68030194115e-09
0.07,5.64135662938e-09
